face_x,face_y,face_w,face_h,face_con,pose_x,pose_y
0.3342790901660919,0.29656463861465454,0.17952457070350647,0.3191554546356201,0.9458192586898804,0,0
0.3495155870914459,0.3189511299133301,0.17336413264274597,0.3082039952278137,0.9137241244316101,0,0
0.3436785638332367,0.29131782054901123,0.17668721079826355,0.3141108751296997,0.9345065951347351,0,0
0.3369760513305664,0.30343276262283325,0.17003589868545532,0.30228668451309204,0.9298272728919983,0,0
0.3566182255744934,0.2879534959793091,0.15908002853393555,0.2828090190887451,0.9169255495071411,0,0
0.3361513912677765,0.31030184030532837,0.1788073480129242,0.31788063049316406,0.928083598613739,0,0
0.35912269353866577,0.30131977796554565,0.1728990077972412,0.30737632513046265,0.9503633379936218,0,0
0.35530006885528564,0.38411980867385864,0.1918250322341919,0.3410227298736572,0.8942355513572693,0,0
0.3437298834323883,0.28224027156829834,0.15914490818977356,0.2829244136810303,0.9070597290992737,0,0
0.35532423853874207,0.3069222569465637,0.16944560408592224,0.3012368083000183,0.9319581985473633,0,0
0.35643520951271057,0.2938006520271301,0.16070517897605896,0.28569847345352173,0.9248133301734924,0,0
0.3703916668891907,0.2912144660949707,0.15257316827774048,0.2712414264678955,0.9274566769599915,0,0
0.38156259059906006,0.2950124740600586,0.14947831630706787,0.26573967933654785,0.9467495083808899,0,0
0.38527175784111023,0.29809731245040894,0.14240512251853943,0.25316524505615234,0.9403340220451355,0,0
0.3413822054862976,0.2800663113594055,0.15160617232322693,0.26952219009399414,0.8895609974861145,0,0
0.34259289503097534,0.27565157413482666,0.15893447399139404,0.2825504541397095,0.8307349681854248,0,0
0.3539791405200958,0.29143214225769043,0.1597062051296234,0.28392255306243896,0.8624923825263977,0,0
0.39044031500816345,0.2546849846839905,0.1636507213115692,0.2909349799156189,0.6369033455848694,0,0
0.256736159324646,0.35496437549591064,0.13302016258239746,0.23648101091384888,0.6748867630958557,0,0
0.38490208983421326,0.2774803042411804,0.1609170138835907,0.28607475757598877,0.9235315322875977,0,0
0.3832133710384369,0.2996724843978882,0.1466265618801117,0.26066988706588745,0.938025712966919,0,0
0.3337864577770233,0.290507972240448,0.14383071660995483,0.2556988000869751,0.8601691722869873,0,0
0.36397865414619446,0.319055438041687,0.15887024998664856,0.28243619203567505,0.9263189435005188,0,0
0.379803866147995,0.27380508184432983,0.15038105845451355,0.26734459400177,0.8798754811286926,0,0
0.37419503927230835,0.2843567728996277,0.15604352951049805,0.27741122245788574,0.9258471131324768,0,0
